COMPROBANTE	SERIE_COMPROBANTE	CLAVE_ACCESO	FECHA_AUTORIZACION	FECHA_EMISION	VALOR_SIN_IMPUESTOS	IVA	IMPORTE_TOTAL
Factura	001-011-000000046	1101202301109010517100120010110000000461234567819	25/01/2023 10:54:39	11/01/2023 00:00:00	164.81	0	164.81
Factura	001-011-000000047	1101202301109010517100120010110000000471234567814	20/01/2023 10:05:20	11/01/2023 00:00:00	704.78	0	704.78
Factura	001-011-000000052	1101202301109010517100120010110000000521234567811	20/01/2023 10:05:52	11/01/2023 00:00:00	94.65	0	94.65
Factura	001-011-000000049	1101202301109010517100120010110000000491234567815	20/01/2023 10:05:31	11/01/2023 00:00:00	2	0	2
Factura	001-011-000000045	1101202301109010517100120010110000000451234567813	11/01/2023 17:17:13	11/01/2023 00:00:00	18.02	2.17	20.19
Factura	001-011-000000051	1101202301109010517100120010110000000511234567816	01/02/2023 15:57:41	11/01/2023 00:00:00	85.07	0	85.07
Factura	001-011-000000054	1101202301109010517100120010110000000541234567812	11/01/2023 17:07:52	11/01/2023 00:00:00	181.81	21.82	203.63
Factura	001-011-000000050	1101202301109010517100120010110000000501234567810	11/01/2023 17:17:53	11/01/2023 00:00:00	13.33	1.6	14.93
Factura	001-011-000000048	1101202301109010517100120010110000000481234567811	11/01/2023 12:18:52	11/01/2023 00:00:00	29.66	3.56	33.22
Factura	001-011-000000053	1101202301109010517100120010110000000531234567817	11/01/2023 14:52:34	11/01/2023 00:00:00	13.7	1.64	15.34
Factura	001-013-000000009	1101202301109010517100120010130000000091234567813	11/01/2023 14:42:44	11/01/2023 00:00:00	46.43	5.57	52
