COMPROBANTE	SERIE_COMPROBANTE	CLAVE_ACCESO	FECHA_AUTORIZACION	FECHA_EMISION	VALOR_SIN_IMPUESTOS	IVA	IMPORTE_TOTAL
Factura	001-011-000000065	1701202301109010517100120010110000000651234567811	20/01/2023 10:06:23	17/01/2023 00:00:00	296.42	0	296.42
Factura	001-011-000000068	1701202301109010517100120010110000000681234567816	20/01/2023 10:06:33	17/01/2023 00:00:00	80.36	9.64	90
Factura	001-011-000000063	1701202301109010517100120010110000000631234567819	20/01/2023 10:06:12	17/01/2023 00:00:00	185	0	185
Factura	001-011-000000067	1701202301109010517100120010110000000671234567810	17/01/2023 14:41:17	17/01/2023 00:00:00	53.57	6.43	60
Factura	001-013-000000013	1701202301109010517100120010130000000131234567812	17/01/2023 15:17:32	17/01/2023 00:00:00	52.68	6.32	59
Factura	001-013-000000015	1701202301109010517100120010130000000151234567813	17/01/2023 15:49:47	17/01/2023 00:00:00	66.96	8.04	75
Factura	001-013-000000014	1701202301109010517100120010130000000141234567818	17/01/2023 15:43:04	17/01/2023 00:00:00	46.43	5.57	52
Factura	001-011-000000062	1701202301109010517100120010110000000621234567813	17/01/2023 09:58:09	17/01/2023 00:00:00	4.46	.54	5
Factura	001-011-000000061	1701202301109010517100120010110000000611234567818	17/01/2023 09:54:39	17/01/2023 00:00:00	48.21	5.79	54
Factura	001-011-000000064	1701202301109010517100120010110000000641234567814	17/01/2023 10:16:45	17/01/2023 00:00:00	26.79	3.21	30
Factura	001-011-000000066	1701202301109010517100120010110000000661234567815	17/01/2023 10:44:53	17/01/2023 00:00:00	35.34	4.24	39.58
